CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;NTYPE;VISDIM1;VISDIM2;STAR;STAR_MAG;DIST_LY;MAG;N
1;NGC6514;Sgr;M020;Trifid-Nebel;Trifid Nebula;18;1.9;-23;2;ER;29;27;-;6.9;5200;6.3;N
1;NGC6523;Sgr;M008;Lagunen-Nebel;Lagoon Nebula;18;4.7;-24;19;E;60;35;-;6.8;5200;6;N
1;NGC6618;Sgr;M017;Omega-Nebel;Omega Nebula;18;20.9;-16;10;E;46;37;-;8.9;5000;6;N
1;NGC6334;Sco;;Katzenpfotennebel;Cat’s Paw Nebula;17;20.5;-34;4;E;35;20;-;8.0;5500;;N
1;NGC6357;Sco;;Hummernebel (Krieg- und Friedennebel);Lobster Nebula (War and Peace Nebula);17;24.6;-34;9;E;57;44;-;10;3260;;N
1;NGC6611;Ser;M016;Adlernebel (IC 4703);Eagle Nebula (IC 4703);18;18.8;-13;46;E;35;28;-;8.3;7000;6;N
1;NGC1435;Tau;M045;Tempels Nebel;Merope Nebula;3;46.3;23;51;R;30;30;-;-1;411;9;N
1;IC2087;Tau;;;;4;39.9;25;43;R;28;19;-;-1;-1;;N
1;NGC1952;Tau;M001;Krebsnebel;Crab Nebula;5;34.5;22;1;E;6;4;-;-1;6300;8.4;N
1;NGC0281;Cas;;Pacman-Nebel;Pacman Nebula;0;52.5;56;34;E;35;30;;-1;9500;7.4;N
1;IC59;;;;;0;57.71;61;5.00;RNe;0;0;;0;-999;;N
1;IC5068;;;;;20;51.00;42;30.00;HII;0;0;;0;-999;;N
1;IC2966;;;;;11;50.21;-64;52.32;RNe;0;0;;0;-999;;N
1;IC2162;;;;;6;13.07;17;58.73;HII;0;0;;0;-999;;N
1;BRAN342;;;;;11;10.06;-60;10.38;ISM;0;0;;0;-999;;N
1;IC353;;;;;3;45.00;32;24.00;HII;0;0;;0;-999;;N
1;NGC3503;Car;;;;11;1.26;-59;50.65;RNe;3;3;;0;9460;;N
1;NGC1999;Ori;;;;5;36.42;-6;42.70;RNe;2;2;;0;1500;;N
