CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;OCTYPE;_DIAM_MM;MAG;STAR_CNT;DIST_LY;AGE;OC
1;NGC220;;;;;0;40.93;-73;24.17;-;1;14.39;-999;-999;-999;OC
1;NGC1496;;;;;4;4.53;52;39.70;-;0;9.6;-999;-999;-999;OC
1;NGC146;;;;;0;33.10;63;18.00;-;0;9.1;-999;-999;-999;OC
1;NGC1938;;;;;5;21.41;-69;56.53;-;1;13.09;-999;-999;-999;OC
1;NGC2374;;;;;7;23.93;-13;15.80;-;0;8;-999;-999;-999;OC
1;NGC1967;;;;;5;26.72;-69;6.10;-;1;10.81;-999;-999;-999;OC
1;NGC6839;;;;;19;54.55;17;56.30;-;0;-999;-999;-999;-999;OC
1;NGC231;;;;;0;41.12;-73;20.97;-;2;12.87;-999;-999;-999;OC
1;NGC1986;;;;;5;27.63;-69;58.23;-;3;11.07;-999;-999;-999;OC
1;NGC2158;Gem;;;;6;7.42;24;5.80;II3r;5;8.6;10000;16200;1000;OC
1;NGC2237;;;;;6;30.60;4;58.84;-;0;-999;-999;-999;-999;OC
1;NGC1997;;;;;5;30.57;-63;12.20;-;2;13.43;-999;-999;-999;OC
1;NGC2265;;;;;6;41.68;11;54.30;-;0;-999;-999;-999;-999;OC
1;NGC1920;;;;;5;20.55;-66;46.70;-;1;12.54;-999;-999;-999;OC
1;NGC3228;Vel;;;;10;21.37;-51;43.70;I1p;5;6;-999;1770;-999;OC
1;NGC248;;;;;0;45.40;-73;22.74;-;0;-999;-999;-999;-999;OC
1;NGC2092;;;;;5;41.38;-69;13.52;-;1;-999;-999;-999;-999;OC
1;NGC339;;;;;0;57.81;-74;28.00;-;3;12.21;-999;-999;-999;OC
1;NGC381;;;;;1;8.33;61;35.03;-;0;9.3;-999;-999;-999;OC
1;NGC5288;;;;;13;48.77;-64;41.20;-;0;11.8;-999;-999;-999;OC
1;NGC2157;;;;;5;57.59;-69;11.81;-;3;10.16;-999;-999;-999;OC
1;NGC6940;Vul;;;;20;34.43;28;17.00;III2m;25;6.3;-999;2500;-999;OC
1;NGC7058;;;;;21;21.90;50;49.00;-;0;-999;-999;-999;-999;OC
1;IC1641;;;;;1;9.66;-71;46.05;-;1;14.99;-999;-999;-999;OC
1;NGC1897;;;;;5;17.52;-67;27.03;-;1;13.49;-999;-999;-999;OC
1;NGC6704;;;;;18;50.90;-5;12.00;-;0;9.2;-999;-999;-999;OC
1;NGC1766;;;;;4;55.96;-70;13.44;-;1;12.22;-999;-999;-999;OC
1;NGC2335;;;;;7;6.82;-10;1.70;-;0;7.2;-999;-999;-999;OC
